DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00598214	0	5	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.00623214	0	6	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.00623214	0	6	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.00623214	0	6	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.00648214	0	6	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.00648214	0	6	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.00648214	0	6	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.00673214	0	6	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.00673214	0	6	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.00673214	0	6	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.00698214	0	6	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00698214	0	6	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00698214	0	6	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.00723214	0	7	0	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.00723214	0	7	0	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.00723214	0	7	0	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.00748214	0	7	1	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.00748214	0	7	1	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.00748214	0	7	1	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.00773214	0	7	2	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.00773214	0	7	2	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.00773214	0	7	2	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.00798214	0	7	3	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.00798214	0	7	3	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.00798214	0	7	3	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.00823214	0	8	0	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.00823214	0	8	0	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.00823214	0	8	0	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.00848214	0	8	1	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00848214	0	8	1	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00848214	0	8	1	1	12	1	1002	0	10978	15	0	44.9161	0	0
DL	0.00873214	0	8	2	1	12	1	1003	0	10978	15	0	37.2194	0	0
DL	0.00873214	0	8	2	1	12	1	1003	0	10978	15	0	48.0747	0	0
DL	0.00873214	0	8	2	1	12	1	1003	0	10978	15	0	44.9161	0	0
DL	0.00898214	0	8	3	1	12	1	1004	0	10978	15	0	37.2194	0	0
DL	0.00898214	0	8	3	1	12	1	1004	0	10978	15	0	48.0747	0	0
DL	0.00898214	0	8	3	1	12	1	1004	0	10978	15	0	44.9161	0	0
DL	0.00923214	0	9	0	1	12	1	1005	0	10978	15	0	37.2194	0	0
DL	0.00923214	0	9	0	1	12	1	1005	0	10978	15	0	48.0747	0	0
DL	0.00923214	0	9	0	1	12	1	1005	0	10978	15	0	44.9161	0	0
DL	0.00948214	0	9	1	1	12	1	1006	0	10978	15	0	37.2194	0	0
DL	0.00948214	0	9	1	1	12	1	1006	0	10978	15	0	48.0747	0	0
DL	0.00948214	0	9	1	1	12	1	1006	0	10978	15	0	44.9161	0	0
DL	0.00973214	0	9	2	1	12	1	1001	0	10978	15	0	37.2194	0	0
DL	0.00973214	0	9	2	1	12	1	1001	0	10978	15	0	48.0747	0	0
DL	0.00973214	0	9	2	1	12	1	1001	0	10978	15	0	44.9161	0	0
DL	0.00998214	0	9	3	1	12	1	1002	0	10978	15	0	37.2194	0	0
DL	0.00998214	0	9	3	1	12	1	1002	0	10978	15	0	48.0747	0	0
DL	0.00998214	0	9	3	1	12	1	1002	0	10978	15	0	44.9161	0	0
